Positive,Neutral,Negative,Date
0.0,90.9090909090909,9.090909090909092,2016-11-15
0.0,72.72727272727273,27.27272727272727,2016-11-14
0.0,80.0,20.0,2016-11-14
0.0,80.0,20.0,2016-11-14
0.0,80.0,20.0,2016-11-13
11.11111111111111,77.77777777777779,11.11111111111111,2016-11-13
0.0,88.88888888888889,11.11111111111111,2016-11-12
0.0,77.77777777777779,22.22222222222222,2016-11-12
0.0,85.71428571428571,14.285714285714285,2016-11-11
0.0,85.71428571428571,14.285714285714285,2016-11-11
0.0,87.5,12.5,2016-11-10
0.0,100.0,0.0,2016-11-10
0.0,87.5,12.5,2016-11-09
0.0,88.88888888888889,11.11111111111111,2016-11-09
0.0,90.9090909090909,9.090909090909092,2016-11-09
0.0,90.9090909090909,9.090909090909092,2016-11-09
0.0,90.9090909090909,9.090909090909092,2016-11-08
0.0,100.0,0.0,2016-11-08
0.0,100.0,0.0,2016-11-07
0.0,81.81818181818183,18.181818181818183,2016-11-07
0.0,80.0,20.0,2016-11-04
0.0,80.0,20.0,2016-11-04
0.0,72.72727272727273,27.27272727272727,2016-11-04
0.0,72.72727272727273,27.27272727272727,2016-11-03
0.0,80.0,20.0,2016-11-03
0.0,63.63636363636363,36.36363636363637,2016-11-02
0.0,63.63636363636363,36.36363636363637,2016-11-02
0.0,72.72727272727273,27.27272727272727,2016-11-02
0.0,70.0,30.0,2016-11-01
0.0,70.0,30.0,2016-11-01
0.0,70.0,30.0,2016-11-01
0.0,70.0,30.0,2016-11-01
0.0,81.81818181818183,18.181818181818183,2016-11-01
0.0,90.9090909090909,9.090909090909092,2016-10-31
0.0,72.72727272727273,27.27272727272727,2016-10-31
0.0,81.81818181818183,18.181818181818183,2016-10-30
0.0,80.0,20.0,2016-10-30
0.0,100.0,0.0,2016-10-29
0.0,100.0,0.0,2016-10-29
10.0,90.0,0.0,2016-10-28
0.0,81.81818181818183,18.181818181818183,2016-10-28
0.0,81.81818181818183,18.181818181818183,2016-10-27
0.0,63.63636363636363,36.36363636363637,2016-10-27
0.0,63.63636363636363,36.36363636363637,2016-10-26
0.0,81.81818181818183,18.181818181818183,2016-10-26
0.0,72.72727272727273,27.27272727272727,2016-10-25
0.0,70.0,30.0,2016-10-25
0.0,72.72727272727273,27.27272727272727,2016-10-24
0.0,72.72727272727273,27.27272727272727,2016-10-24
0.0,90.9090909090909,9.090909090909092,2016-10-24
0.0,81.81818181818183,18.181818181818183,2016-10-23
0.0,90.9090909090909,9.090909090909092,2016-10-20
0.0,72.72727272727273,27.27272727272727,2016-10-19
0.0,81.81818181818183,18.181818181818183,2016-10-19
0.0,81.81818181818183,18.181818181818183,2016-10-18
0.0,63.63636363636363,36.36363636363637,2016-10-18
0.0,54.54545454545454,45.45454545454545,2016-10-17
0.0,90.9090909090909,9.090909090909092,2016-10-17
9.090909090909092,72.72727272727273,18.181818181818183,2016-10-15
9.090909090909092,63.63636363636363,27.27272727272727,2016-10-14
0.0,72.72727272727273,27.27272727272727,2016-10-13
