Positive,Neutral,Negative,Date
0.0,73.68421052631578,26.31578947368421,2016-11-01
0.0,75.0,25.0,2016-11-01
0.0,75.0,25.0,2016-11-01
0.0,75.0,25.0,2016-11-01
0.0,93.33333333333333,6.666666666666667,2016-11-02
0.0,93.10344827586206,6.896551724137931,2016-11-02
3.125,90.625,6.25,2016-11-02
0.0,76.0,24.0,2016-11-03
0.0,85.71428571428571,14.285714285714285,2016-11-03
10.714285714285714,75.0,14.285714285714285,2016-11-04
6.666666666666667,76.66666666666667,16.666666666666664,2016-11-04
6.666666666666667,76.66666666666667,16.666666666666664,2016-11-04
0.0,86.20689655172413,13.793103448275861,2016-11-07
0.0,79.3103448275862,20.689655172413794,2016-11-07
0.0,85.71428571428571,14.285714285714285,2016-11-08
7.142857142857142,78.57142857142857,14.285714285714285,2016-11-08
5.555555555555555,83.33333333333334,11.11111111111111,2016-11-09
5.555555555555555,83.33333333333334,11.11111111111111,2016-11-09
6.896551724137931,75.86206896551724,17.24137931034483,2016-11-09
2.857142857142857,74.28571428571429,22.857142857142858,2016-11-09
5.714285714285714,65.71428571428571,28.57142857142857,2016-11-10
9.523809523809524,57.14285714285714,33.33333333333333,2016-11-01
3.3333333333333335,73.33333333333333,23.333333333333332,2016-10-31
4.0,80.0,16.0,2016-10-31
3.571428571428571,71.42857142857143,25.0,2016-10-30
0.0,75.0,25.0,2016-10-30
2.631578947368421,78.94736842105263,18.421052631578945,2016-10-29
2.7027027027027026,75.67567567567568,21.62162162162162,2016-10-29
0.0,73.33333333333333,26.666666666666668,2016-10-28
3.0303030303030303,57.57575757575758,39.39393939393939,2016-10-28
4.761904761904762,61.904761904761905,33.33333333333333,2016-10-27
13.636363636363635,63.63636363636363,22.727272727272727,2016-10-27
7.4074074074074066,66.66666666666666,25.925925925925924,2016-10-26
10.526315789473683,68.42105263157895,21.052631578947366,2016-10-26
0.0,72.72727272727273,27.27272727272727,2016-10-25
5.88235294117647,82.35294117647058,11.76470588235294,2016-10-25
5.0,75.0,20.0,2016-10-24
2.7777777777777777,61.111111111111114,36.11111111111111,2016-10-24
2.7777777777777777,63.888888888888886,33.33333333333333,2016-10-24
3.3333333333333335,53.333333333333336,43.333333333333336,2016-10-23
3.4482758620689653,55.172413793103445,41.37931034482759,2016-10-20
0.0,84.0,16.0,2016-10-19
0.0,72.22222222222221,27.77777777777778,2016-10-19
0.0,81.81818181818183,18.181818181818183,2016-10-18
0.0,72.0,28.000000000000004,2016-10-18
4.166666666666666,66.66666666666666,29.166666666666668,2016-10-17
8.695652173913043,56.52173913043478,34.78260869565217,2016-10-17
0.0,71.42857142857143,28.57142857142857,2016-10-15
0.0,86.36363636363636,13.636363636363635,2016-10-14
0.0,76.19047619047619,23.809523809523807,2016-10-13
