Sanders,Clinton,Trump,Rubio,Cruz,Kasich,Date
55.7189542484,44.2810457516,69.8988195616,7.5042158516,20.3204047218,2.27655986509,2016-02-24
57.657967033,42.342032967,60.9492089925,4.57951706911,30.8909242298,3.58034970858,2016-02-12
57.657967033,42.342032967,60.9492089925,4.57951706911,30.8909242298,3.58034970858,2016-02-10
54.2718968297,45.7281031703,65.090403338,4.68242929995,27.7700509968,2.45711636532,2016-02-17
58.233995585,41.766004415,61.4580307871,3.68864362475,30.0029044438,4.85042114435,2016-02-14
53.2567049808,46.7432950192,60.8523290387,13.478691774,22.6957383548,2.97324083251,2016-02-26
59.0243902439,40.9756097561,60.9365179133,11.7536140792,22.4387177876,4.87115021999,2016-02-25
57.6819407008,42.3180592992,62.8617363344,4.0192926045,32.4758842444,0.64308681672,2016-02-19
59.0339892665,40.9660107335,68.5126582278,7.43670886076,21.835443038,2.21518987342,2016-02-21
54.8663640948,45.1336359052,62.9498364231,6.7066521265,27.453653217,2.88985823337,2016-02-20
