Date,Trump,Cruz,Rubio,Kasich,Clinton,Sanders
2016-03-03,3743,463,411,125,574,399
2016-03-04,3373,930,517,206,698,508
2016-03-05,4508,1755,946,279,1091,928
2016-03-06,1055,353,220,76,229,182
2016-03-07,1788,509,457,133,593,616
2016-03-08,2765,731,445,391,900,998
2016-03-10,4058,1320,814,702,677,615
2016-03-11,6313,1095,604,422,1238,1267
2016-03-12,7214,1256,621,562,1256,1286
2016-03-13,5693,845,521,637,1482,1723
2016-03-14,5648,903,546,866,1444,1544
2016-03-15,4475,986,607,1620,1781,1354
